"id","created_at","name","has_test","alternate_url"
"69182443","2022-09-14T13:17:54+0300","-",false,"https://hh.ru/vacancy/69182443"
"69500080","2022-09-14T13:17:59+0300","Senior",false,"https://hh.ru/vacancy/69500080"
"69809084","2022-09-14T13:49:21+0300","-",false,"https://hh.ru/vacancy/69809084"
"69809085","2022-09-14T13:49:21+0300","-",false,"https://hh.ru/vacancy/69809085"
"69651789","2022-09-15T09:38:00+0300","-",false,"https://hh.ru/vacancy/69651789"
"69647954","2022-09-15T09:47:19+0300","-",true,"https://hh.ru/vacancy/69647954"
"68958894","2022-09-15T10:57:11+0300","-",false,"https://hh.ru/vacancy/68958894"
"68380428","2022-09-15T12:22:11+0300","-",false,"https://hh.ru/vacancy/68380428"
"69854683","2022-09-15T13:17:39+0300","-",false,"https://hh.ru/vacancy/69854683"
"69862641","2022-09-15T15:43:08+0300","-",false,"https://hh.ru/vacancy/69862641"
"69724262","2022-09-15T15:51:54+0300","-",false,"https://hh.ru/vacancy/69724262"
"69882858","2022-09-16T09:53:52+0300","-",false,"https://hh.ru/vacancy/69882858"
"69016625","2022-09-16T11:46:39+0300","-",false,"https://hh.ru/vacancy/69016625"
"69891580","2022-09-16T12:21:38+0300","-",false,"https://hh.ru/vacancy/69891580"
"69081304","2022-09-16T12:33:52+0300","-",false,"https://hh.ru/vacancy/69081304"
"69900300","2022-09-16T14:58:00+0300","-",false,"https://hh.ru/vacancy/69900300"
"69904023","2022-09-16T15:55:55+0300","-",false,"https://hh.ru/vacancy/69904023"
"69909532","2022-09-16T18:36:37+0300","-",true,"https://hh.ru/vacancy/69909532"
"69813867","2022-09-17T15:12:13+0300","Senior",false,"https://hh.ru/vacancy/69813867"
"69918214","2022-09-17T19:08:02+0300","-",false,"https://hh.ru/vacancy/69918214"
